Beta,Order 1,Order 2,Order 3,Order 4,Order 5
0,0.002192829222672645,0.003409740847627238,0.0034464141015832866,0.0038623484679662853,0.004416969025634486
1,0.002860628030161291,0.010133049380967742,0.017892451137708616,0.03096353393446151,0.050800004099299974
2,0.0028606280301612936,0.010133049380966814,0.01789245113768703,0.030963533934287794,0.05080000410614447
3,0.0,0.008993118953394814,0.03519494014815098,0.10210899057341168,0.24930561712801602
4,0.0,0.008036140905702701,0.028006390852198176,0.07965043351107284,0.19369252155717917
5,0.0,0.008993118953394013,0.035194940148104696,0.10210899057268828,0.24930561722298522
6,0.0,0.0,0.0222186712310295,0.14086266592774788,0.5646023465549009
7,0.0,0.0,0.01946600365656968,0.10742309181404931,0.41563075832733193
8,0.0,0.0,0.019466003656567286,0.10742309181410506,0.41563075830758933
9,0.0,0.0,0.02221867123100507,0.1408626659268171,0.5646023468704005
10,0.0,0.0,0.0,0.06828978618183386,0.5915538935705859
11,0.0,0.0,0.0,0.05932796523495971,0.4486208803700095
12,0.0,0.0,0.0,0.05816757605527483,0.4163859569636515
13,0.0,0.0,0.0,0.059327965234962254,0.44862088034049896
14,0.0,0.0,0.0,0.06828978618146542,0.5915538939448584
15,0.0,0.0,0.0,0.0,0.23199219587467815
16,0.0,0.0,0.0,0.0,0.20040218740487697
17,0.0,0.0,0.0,0.0,0.19483588705391874
18,0.0,0.0,0.0,0.0,0.19483588705270732
19,0.0,0.0,0.0,0.0,0.20040218739276688
20,0.0,0.0,0.0,0.0,0.23199219602068905
